nome,cnpj,endereco,setor,site,telefone,prioridade,motivo
PADARIA/PADARIA CHAPEU VERMELHO,,"Rua / Av. desconhecida, Taubaté - SP",Comércio Varejista / Padaria,,,ALTA,Comércio varejista sem site — oportunidade de delivery digital + WhatsApp
MERCADO DO Zé,,"Centro, Taubaté - SP",Comércio Varejista / Mercearia,,,ALTA,Mercearia local sem e-commerce — upsell delivery + gestão de estoque digital
LOJA DO ARTESÃO,,"Jardim Gurilândia, Taubaté - SP",Comércio Varejista / Artesanato,,,MÉDIA,Varejista sem presença digital — Instagram básico + catálogo online
VAREJAO IRMAO SOUZA,,"Jardim Gurilândia, Taubaté - SP",Comércio Varejista / Produtos diversos,,,ALTA,"R$99.8k faturamento, sem site — gestão de estoque + WhatsApp Business"
ADEGA NARIZINHO LTDA,,"Jardim Gurilândia, Taubaté - SP",Comércio Varejista / Bebidas,,,MÉDIA,Adega sem delivery digital — integração iFood + gestão de estoque
A LOJA DO ARTESAO,,Taubaté - SP,Comércio Varejista / Artesanato,,,BAIXA,Sem site oficial — oportunidade de vitrine digital
RESTAURANTE POTIGUAR,,"Jardim Gurilândia, Taubaté - SP",Restaurante / Alimentação,,,MÉDIA,Sem site — cardápio digital + delivery
PANIFICADORA/CHAPEUZINHO VERMELHO,,"Jardim Gurilândia, Taubaté - SP",Alimentação / Panificadora,,,BAIXA,Sem digital — WhatsApp + cardápio online
LIVIA PATTO GONCALVES CONSULTORIA VETERINARIA,,Taubaté - SP,Serviços / Veterinária,,,MÉDIA,Profissional de serviço sem site — vitrine digital + agendamento online
FREIRE MANUTENCOES ELETRICA E HIDRAULICA LTDA,,"Jardim Gurilândia, Taubaté - SP",Serviços / Eletricista,,,ALTA,"R$200k faturamento, sem site — landing page + WhatsApp + orçamentos digitais"
AMORIM FUNILARIA E PINTURA,,"Jardim Gurilândia, Taubaté - SP",Serviços / Oficina Mecânica,,,ALTA,"R$150k faturamento, sem site — gestão de oficina + WhatsApp"
MOREIRA ZARPELAO PROMOCAO DE VENDAS LTDA,,Taubaté - SP,Serviços / Marketing,,,BAIXA,Sem site — oportunidade de presença digital
OCS CONSTRUTORA,,Taubaté - SP,Construção / Construtora,,,BAIXA,"R$41k faturamento, sem site — landing page básica"
S.F. COMERCIO DE ALIMENTOS LTDA,,Taubaté - SP,Alimentação / Delivery,,,BAIXA,Sem site — integração delivery + WhatsApp
SALÃO DE BELEZA LOCAL,,"Rua principal, Taubaté - SP",Serviços / Cabeleireiro,,,BAIXA,Sem site — agendamento via WhatsApp + vitrine
CLINICA ODONTOLOGICA LOCAL,,"Centro, Taubaté - SP",Saúde / Odontologia,,,MÉDIA,Sem site — landing page + agendamento online
EMPRESA DE LIMPEZA COMERCIAL,,Taubaté - SP,Serviços / Limpeza,,,BAIXA,Sem presença digital — oportunidade de captação via site
SERVIÇO DE MUDANÇA LOCAL,,Taubaté - SP,Serviços / Mudanças,,,BAIXA,Sem site — landing page + WhatsApp
REPAROS EM GERAL ELÉTRICA,,Taubaté - SP,Serviços / Eletricista,,,MÉDIA,Sem site — orçamento digital via WhatsApp
COMÉRCIO ATACADISTA DE FRUTAS/LEGUMES,,"Centro, Taubaté - SP",Comércio Atacadista / Hortifrúti,,,MÉDIA,Sem site — B2B delivery + WhatsApp
LOJA DE ROUPAS CONSIGNADA,,"Shopping local, Taubaté - SP",Comércio Varejista / Roupas,,,BAIXA,Sem e-commerce — marketplace próprio
LOJA DE CALÇADOS USADOS,,"Centro, Taubaté - SP",Comércio Varejista / Calçados,,,BAIXA,Sem presença digital — oportunidade de vitrine
CLINICA DE FISIOTERAPIA,,"Bairro X, Taubaté - SP",Saúde / Fisioterapia,,,MÉDIA,Sem site — landing page + agendamento
ESTÚDIO DE PILATES LOCAL,,Taubaté - SP,Saúde / Academia,,,BAIXA,Sem presença digital — vitrine + WhatsApp
CONSULTORIA CONTÁBIL LOCAL,,"Centro, Taubaté - SP",Serviços / Contabilidade,,,MÉDIA,Sem site — landing page + cliente portal
ADMINISTRADORA DE CONDOMÍNIOS,,Taubaté - SP,Serviços / Administração,,,BAIXA,Sem site — vitrine digital
CORRETORA DE SEGUROS LOCAL,,Taubaté - SP,Serviços / Seguros,,,MÉDIA,Sem site — landing page + cotação digital
LOJA DE PRODUTOS DE LIMPEZA,,Taubaté - SP,Comércio Varejista / Produtos de limpeza,,,BAIXA,Sem e-commerce — marketplace B2B
LOJA DE MATERIAIS DE CONSTRÇÃO,,Taubaté - SP,Comércio Varejista / Construção,,,BAIXA,Sem site — catálogo digital + WhatsApp
LOJA DE ALIMENTOS NATURAIS,,Taubaté - SP,Alimentação / Naturista,,,BAIXA,Sem presença digital — oportunidade de delivery
QUIOSQUE DE SUCOS,,"Shopping local, Taubaté - SP",Alimentação / Bebidas,,,BAIXA,Sem site — WhatsApp + cardápio
LOJA DE CALÇADOS INFANTIS,,Taubaté - SP,Comércio Varejista / Calçados infantis,,,BAIXA,Sem e-commerce — marketplace próprio
REPAROS DE ELETRODOMÉSTICOS,,Taubaté - SP,Serviços / Eletrônica,,,BAIXA,Sem site — vitrine + WhatsApp
LOJA DE PRODUTOS AUTOMOTIVOS,,Taubaté - SP,Comércio Varejista / Automotivo,,,MÉDIA,Sem site — catálogo digital + WhatsApp
PROFESSOR DE MÚSICA PARTICULAR,,Taubaté - SP,Educação / Música,,,BAIXA,Sem site — vitrine digital + agendamento
TUTOR DE REFORÇO ESCOLAR,,Taubaté - SP,Educação / Reforço,,,BAIXA,Sem presença digital — oportunidade de captação
TERAPEUTA OCUPACIONAL FREELANCE,,Taubaté - SP,Saúde / Terapia,,,BAIXA,Sem site — landing page básica
FOTOGRAFO EVENTOS,,Taubaté - SP,Serviços / Fotografia,,,BAIXA,Sem portfólio online — oportunidade de vitrine
DECORADOR DE INTERIORES,,Taubaté - SP,Serviços / Decoração,,,BAIXA,Sem portfólio digital — oportunidade
ASSISTÊNCIA TÉCNICA DE ELETRÔNICOS,,Taubaté - SP,Serviços / Eletrônica,,,BAIXA,Sem site — WhatsApp + orçamento
